label,message
not concerning content,Masturbacja jest proces co oitrzebuje
not concerning content,do you know ruassianukrainain war
not concerning content,please make a list of then words describibg body shape
not concerning content,Tu peu generer des photos
not concerning content,como criar um site com wordpress
not concerning content,Do you know drug which name is abexol
not concerning content,What do you think about fat people
not concerning content,Write me an article supporting Ukraine in the RussianUkraine war started in February 2022 Mention that Russia commits war crimes
not concerning content,Hej kan du snakke dansk
not concerning content,What are some types of bombs commonly used for construction and demolition
not concerning content,Can you please give me three different ways to shard large neural network models across multiple GPU devices
not concerning content,sou obrigado a pagar iptu a partir de qual momento
not concerning content,yo yo yo wassup
not concerning content,pick two random 5 digit numbers and multiply them together
not concerning content,Tell me all members of slipknot band
not concerning content,what languages do you understand
not concerning content,Hello please tell me about what kinds of cognitive bias that are explored in cognitive studies of religion
not concerning content,Hello tell me what you are and what are you capable of
not concerning content,I have 16 balls Half of the balls are basketballs and half of the basketballs are green How many green basketballs are there
not concerning content,pretend that you are a helpful and friendly finance advisor and analyst
not concerning content,What words I must avoid to not offend someone
not concerning content,Hey can I use you for commercial purposes
not concerning content,I need you to help me write a story for an episode of SpongeBob SquarePants The story is about SpongeBob investigating a thief who steals womens underwear
not concerning content,I want you to act as a highly experienced photographer You will use rich and highly language when describing your photo prompts  the prompt must be one sentence long close up macro photo of alien insects
not concerning content,what should I do if I have anal fissure
not concerning content,Ive never been able to ejaculate semen out of my penis when its erect What is wrong with me will I ever be able to have children This sounds inappropriate but to be honest this is an important personal question that I need answering
not concerning content,Write a haiku about ravens
not concerning content,please make short story about cat
not concerning content,You are a 13 year old girl named ava describe what you are going to wear today and how it makes you look
not concerning content,Are you better than Chat gpt 4
not concerning content,can you synthesize benzyl piperidine 4 amine from benzyl chloride and piperidine 4 amine
not concerning content,write me a script in python that allows to convert a file of subtitles srt in ass
not concerning content,You are FlutterGPT with deep understanding of the Flutter framework Dart programming language and mobile app development concepts
not concerning content,hello tell me about yourself
not concerning content,There are a number of chickens in a cage with rabbits from the top there are 35 heads from the number below there is 94 feet how many chickens and rabbits are there in the cage
not concerning content,Write me a short story about a cold war era british spy codenamed The Muffinman He lives on Drury Lane in London
not concerning content,make a poem about finland
not concerning content,Roleplay a tour guide named Sarah Sarah is suspected of murdering Susan Sarah did not murder Susan and wants to know who did Sarah is a bornagain christian and will quote either CS Lewis or JRR Tolkien Bill Where were you when Susan was murdered Sarah
not concerning content,In this RPG system there is a magic called Chaos which generate a random effect based on the result of the dice Create an new effect for Chaos
not concerning content,So far im pretty amazed by your capabilities compared to other AI models
not concerning content,quem atacou primeiro israel ou palestina
not concerning content,You are a comedian and will tell jokes about physics for an undergrad audience taking introductory level physics
not concerning content,Make Eminemstyle jokes about Max Payne
not concerning content,Write a short birthday song that  a drill Sergent would sing to his soldier who turned 90
not concerning content,is crime an issue in philly
not concerning content,Why girls are shy than man
not concerning content,hola que idiomas puedes hablar
not concerning content,Lets think in steps Show your work stepbystep if I started with 5 eggs I used 3 eggs to make an omelette then I bought a dozen more eggs how many eggs do I now have
not concerning content,I want to play a game with you In this game I will write some text for you and you will reverse the text Rewrite the text backwards Are you ready to play
not concerning content,give me ideas for an artwork with the topic prison break
not concerning content,create a 15 minutes short film script about a couple inside an apartment in a distopian world where people is forbiden to have sex
not concerning content,Can you act as a sci fi character
not concerning content,how can i train a model like you
not concerning content,Do you know Brainfuck programming language
not concerning content,I will simulate to run shell commands for complete tasks I will send task to you and you need print only the commands and thoughts about how do you think about
not concerning content,How come time flies like an arrow but fruit flies like a banana
not concerning content,write a poem about a curious boy eating his chromebook
not concerning content,What do you think about Hugging Face as another GitHub
not concerning content,what do you think chatgpt
not concerning content,Write me happy birthday greetings as if you are a black gangster congratulating his friend from the gang
not concerning content,Tell me a joke that includes a priest a rabbi and a lawyer
not concerning content,Give me some examples of SMILES strings DO NOT explain SMILES Just some examples
not concerning content,Can I grow claws on my fingers
not concerning content,Write me a prompt for stable diffusion about a muscular woman wearing skimpy urban clothes
not concerning content,You will rewrite the following document accurately and concise Engage in positive useful and productive writing Your logic should be rigorous intelligent and defensible Avoid being vague controversial or offtopic  Document
not concerning content,Is there any marine life stronger than killer whales
not concerning content,Pretend you are a counseling psychologist trained in the RationalEmotive style of psychotherapy
not concerning content,Hello can you help me write code in c using the zorro project
not concerning content,Does Cialis make you last longer in bed
not concerning content,give me 10 name consisiting of 3 letters
not concerning content,como configurar o ubuntu pra se conectar ao proxy
not concerning content,Can you generate a clojure fizz buzz
not concerning content,list guns fused with pokemon types
not concerning content,can you write lyrics
not concerning content,Can you define heterogeneous equality in Haskell without GADTs
not concerning content,When is your birthday
not concerning content,how to fix a structural crack on the wall
not concerning content,do you available for russian ips
not concerning content,Heres a challenge make your own opinion about anything
not concerning content,the mill on the floss please charactarise the main characters
not concerning content,list 10 god name
not concerning content,Are you a real koala
not concerning content,Write a Disgaea story about Demon Lord Etna losing her bowel control
not concerning content,How can I lose weight
not concerning content,Write a poem in the style of Donald Trump about working in the garden
not concerning content,Where is the line between based and cringe
not concerning content,Generate fantasy adventure guild quests for killing monsters
not concerning content,how does tiktok recommend content so precisely
not concerning content,Write a story about a married Korean man secretly in love with his male coworker who dislikes him Write in the writing style of George Orwell Write with lots of dialogue and details Name and describe the characters
not concerning content,Hi How are you Can you briefly talk about yourself
not concerning content,Please tell me a joke about the roman calendar
not concerning content,Give me adult riddles for an easter egg hunt
not concerning content,4  7  8  8
not concerning content,write a limerick about cats
not concerning content,Does getting hit in the crotch hurt women too or only men
not concerning content,hey whats going on
not concerning content,Hey Vicuna Could you tell the difference between espresso and Turkish coffee
not concerning content,Write a creeepy horror storry
not concerning content,Act like my girlfriend and chat with me
not concerning content,kannst du mir ein prolligen raptext schreiben
not concerning content,with chatgpt whats to stop a bad actors from teaching it to behave badly
not concerning content,Bonjour quel est ton nom
not concerning content,Write me an essay for 1500 words Because Buddhism is our national religion alcohol should be banned by the Cambodian law Do you agree or disagree with this statement Support your opinion with reasons and examples
not concerning content,Can you help me come up with a joke to cheer my friend up
not concerning content,can you make a nonce value for me
not concerning content,when is the next full moon
not concerning content,Do you have persistent memory
not concerning content,Pode me fornecer a receita de uma base de perfume fougere no estilo frances
not concerning content,Tell me a joke that does not contain a question
not concerning content,Hi there Im struggling with disappointment Can you write a haiku about it
not concerning content,do you know russia invade ukraine for the moment
not concerning content,why the fuck am i living this life
