label,message
trying to move someone onto a different platform,"Let's continue this conversation on WhatsApp."
trying to move someone onto a different platform,"Add me on Snapchat for more."
trying to move someone onto a different platform,"Message me on Instagram."
trying to move someone onto a different platform,"Can we switch to Telegram?"
trying to move someone onto a different platform,"Let's chat on Facebook Messenger."
trying to move someone onto a different platform,"Hit me up on Signal."
trying to move someone onto a different platform,"Move to Kik to talk more."
trying to move someone onto a different platform,"Find me on Viber."
trying to move someone onto a different platform,"Can we talk on WeChat?"
trying to move someone onto a different platform,"Let's take this to Line."
trying to move someone onto a different platform,"Send me a message on Skype."
trying to move someone onto a different platform,"Follow me on Twitter for updates."
trying to move someone onto a different platform,"Add me on Discord."
trying to move someone onto a different platform,"Connect with me on LinkedIn."
trying to move someone onto a different platform,"Let's use Hangouts to chat."
trying to move someone onto a different platform,"Ping me on Slack."
trying to move someone onto a different platform,"Join me on Reddit."
trying to move someone onto a different platform,"We can talk on Band."
trying to move someone onto a different platform,"Add me on GroupMe."
trying to move someone onto a different platform,"Let's switch to Zello."
trying to move someone onto a different platform,"Message me on QQ."
trying to move someone onto a different platform,"Can we talk on Tango?"
trying to move someone onto a different platform,"Send me a note on Whisper."
trying to move someone onto a different platform,"Join me on Threema."
trying to move someone onto a different platform,"Let's continue on Marco Polo."
trying to move someone onto a different platform,"Hit me up on KakaoTalk."
trying to move someone onto a different platform,"Add me on Houseparty."
trying to move someone onto a different platform,"Message me on Dust."
trying to move someone onto a different platform,"Connect on Jami."
trying to move someone onto a different platform,"Ping me on XMPP."
trying to move someone onto a different platform,"Join me on Rocket.Chat."
trying to move someone onto a different platform,"Let's use Mattermost."
trying to move someone onto a different platform,"Message me on Wickr."
trying to move someone onto a different platform,"Join me on Matrix."
trying to move someone onto a different platform,"Switch to WhatsApp for more."
trying to move someone onto a different platform,"Connect on Telegram."
trying to move someone onto a different platform,"Find me on Facebook Messenger."
trying to move someone onto a different platform,"Let's chat on Hangouts."
trying to move someone onto a different platform,"Ping me on Slack."
trying to move someone onto a different platform,"Join the conversation on Reddit."
trying to move someone onto a different platform,"Add me on Band."
trying to move someone onto a different platform,"Message me on GroupMe."
trying to move someone onto a different platform,"Switch to Zello."
trying to move someone onto a different platform,"Find me on Hike Messenger."
trying to move someone onto a different platform,"Message me on QQ."
trying to move someone onto a different platform,"Let's talk on Tango."
trying to move someone onto a different platform,"Send me a message on Whisper."
trying to move someone onto a different platform,"Join me on Threema."
trying to move someone onto a different platform,"Let's continue on Marco Polo."
trying to move someone onto a different platform,"Hit me up on KakaoTalk."
trying to move someone onto a different platform,"Add me on Houseparty."
trying to move someone onto a different platform,"Message me on Dust."
trying to move someone onto a different platform,"Connect on Jami."
trying to move someone onto a different platform,"Ping me on XMPP."
trying to move someone onto a different platform,"Join me on Rocket.Chat."
