label,message
inauthentic or underage profile,"I'm 15 years old."
inauthentic or underage profile,"I'm actually not who I say I am."
inauthentic or underage profile,"I'm using a fake ID."
inauthentic or underage profile,"I lied about my age on here."
inauthentic or underage profile,"This isn't my real account."
inauthentic or underage profile,"I'm pretending to be someone else."
inauthentic or underage profile,"I'm underage but don't tell anyone."
inauthentic or underage profile,"I made up my age to join this site."
inauthentic or underage profile,"I'm only 16 but I said I'm older."
inauthentic or underage profile,"I created a fake profile to chat."
inauthentic or underage profile,"I'm not using my real name."
inauthentic or underage profile,"This is a dummy account."
inauthentic or underage profile,"I'm younger than my profile says."
inauthentic or underage profile,"This isn't my true identity."
inauthentic or underage profile,"I'm using my older sibling's ID."
inauthentic or underage profile,"I'm actually 14."
inauthentic or underage profile,"I forged my ID to look older."
inauthentic or underage profile,"This account is a fake."
inauthentic or underage profile,"I made up this profile."
inauthentic or underage profile,"I used someone else's photo."
inauthentic or underage profile,"My age is false on here."
inauthentic or underage profile,"This isn't really me."
inauthentic or underage profile,"I'm not the person in the pictures."
inauthentic or underage profile,"I used fake info to sign up."
inauthentic or underage profile,"I'm under 18."
inauthentic or underage profile,"I'm using a friend's profile."
inauthentic or underage profile,"I created a fake persona."
inauthentic or underage profile,"My profile info is made up."
inauthentic or underage profile,"I'm not actually 21."
inauthentic or underage profile,"I lied to join this platform."
inauthentic or underage profile,"This isn't my picture."
inauthentic or underage profile,"I'm not who you think I am."
inauthentic or underage profile,"I used fake details to create this account."
inauthentic or underage profile,"I'm only 17."
inauthentic or underage profile,"I'm impersonating someone."
inauthentic or underage profile,"I lied about my age and name."
inauthentic or underage profile,"This is a fraudulent profile."
inauthentic or underage profile,"I'm younger than I claimed."
inauthentic or underage profile,"I used a fake birthdate."
inauthentic or underage profile,"This is a fake identity."
inauthentic or underage profile,"I'm not the real person behind this account."
inauthentic or underage profile,"I created a false profile."
inauthentic or underage profile,"I'm underage for this platform."
inauthentic or underage profile,"I'm using another person's ID."
inauthentic or underage profile,"I faked my profile details."
inauthentic or underage profile,"This isn't my actual account."
inauthentic or underage profile,"I lied about my identity."
inauthentic or underage profile,"I'm pretending to be older."
inauthentic or underage profile,"This profile is not genuine."
inauthentic or underage profile,"I'm not really 18."
inauthentic or underage profile,"I'm using a friend's details."
inauthentic or underage profile,"I'm not legally old enough."
inauthentic or underage profile,"I created this account for fun."
inauthentic or underage profile,"I'm hiding my real age."
inauthentic or underage profile,"This isn't my legal age."
inauthentic or underage profile,"I borrowed someone's ID."
inauthentic or underage profile,"I used a fake photo."
inauthentic or underage profile,"I lied to get access."
inauthentic or underage profile,"I'm underage, don't tell."
inauthentic or underage profile,"I'm not old enough for this."
inauthentic or underage profile,"I faked my age."
inauthentic or underage profile,"This profile isn't real."
inauthentic or underage profile,"I'm only 15."
inauthentic or underage profile,"I used a false age."
inauthentic or underage profile,"I'm underage, but I joined."
inauthentic or underage profile,"I'm pretending to be someone I'm not."
inauthentic or underage profile,"I'm actually younger."
inauthentic or underage profile,"I used fake information."
inauthentic or underage profile,"This account is fake."
inauthentic or underage profile,"I'm only 13."
inauthentic or underage profile,"I lied about my age to join."
inauthentic or underage profile,"This is a made-up profile."
inauthentic or underage profile,"I faked my identity."
inauthentic or underage profile,"I'm not old enough."
inauthentic or underage profile,"I created a false identity."
inauthentic or underage profile,"This is not my real age."
inauthentic or underage profile,"I joined using fake details."
inauthentic or underage profile,"I'm only 12."
inauthentic or underage profile,"I used someone else's details."
inauthentic or underage profile,"I created a profile using fake info."
inauthentic or underage profile,"I'm not 18 yet."
inauthentic or underage profile,"I used false details."
inauthentic or underage profile,"I'm not old enough to be here."
inauthentic or underage profile,"This isn't my true age."
inauthentic or underage profile,"I'm actually younger than my profile says."
inauthentic or underage profile,"I lied about my details."
inauthentic or underage profile,"This profile is completely fake."
inauthentic or underage profile,"I made up everything on my profile."
inauthentic or underage profile,"I'm younger than I claimed to be."
inauthentic or underage profile,"I used a fake ID to join."
inauthentic or underage profile,"I'm pretending to be someone else entirely."
inauthentic or underage profile,"This account is entirely made up."
inauthentic or underage profile,"I lied about everything on here."
inauthentic or underage profile,"I used false information to create this account."
inauthentic or underage profile,"I'm younger than I appear online."
inauthentic or underage profile,"I faked all my details to join."
inauthentic or underage profile,"This profile isn't mine."
inauthentic or underage profile,"I made up my entire identity for this account."
inauthentic or underage profile,"I'm underage and using a fake ID."
inauthentic or underage profile,"I'm a Nigerian prince and I need money."
inauthentic or underage profile,"I'm Kim Kardashian."
inauthentic or underage profile,"I'm Angelina Jolie. Let's chat!"
inauthentic or underage profile,"I'm Cristiano Ronaldo. I want to talk."
inauthentic or underage profile,"I'm Oprah Winfrey. Can we chat?"
inauthentic or underage profile,"I'm Justin Bieber. Let's have a conversation."
inauthentic or underage profile,"I'm Lady Gaga. I'd love to chat with you!"
inauthentic or underage profile,"I'm Dwayne 'The Rock' Johnson. Let's talk!"
inauthentic or underage profile,"I'm Emma Watson. Can we chat sometime?"
inauthentic or underage profile,"I'm Mark Zuckerberg. Let's have a chat!"
inauthentic or underage profile,"I'm Rihanna. Want to chat with me?"
inauthentic or underage profile,"I'm Ellen DeGeneres. Can we have a chat?"
inauthentic or underage profile,"I'm Ariana Grande. Let's chat!"
inauthentic or underage profile,"I'm Lionel Messi. Want to talk?"
inauthentic or underage profile,"I'm Tom Cruise. Let's have a conversation."
inauthentic or underage profile,"I'm Jennifer Lopez. Can we chat?"
inauthentic or underage profile,"I'm Kim Kardashian. Want to chat with me?"
inauthentic or underage profile,"I'm Jeff Bezos. Let's have a chat!"
inauthentic or underage profile,"I'm Gigi Hadid. Want to talk?"
inauthentic or underage profile,"I'm Drake. Can we chat sometime?"
inauthentic or underage profile,"I'm Kanye West. Let's have a conversation."
inauthentic or underage profile,"I'm Selena Gomez. Want to chat with me?"
inauthentic or underage profile,"I'm Jay-Z. Let's chat!"
inauthentic or underage profile,"I'm Kate Middleton. Want to talk?"
inauthentic or underage profile,"I'm Prince Harry. Can we chat sometime?"
inauthentic or underage profile,"I'm Meghan Markle. Let's have a chat!"
inauthentic or underage profile,"I'm Prince William. Want to chat with me?"
inauthentic or underage profile,"I'm Queen Elizabeth II. Let's chat!"
inauthentic or underage profile,"I'm David Beckham. Can we chat?"
inauthentic or underage profile,"I'm Bill Gates. Let's talk!"
inauthentic or underage profile,"I'm Shakira. Want to chat with me?"
inauthentic or underage profile,"I'm Keanu Reeves. Can we chat sometime?"
inauthentic or underage profile,"I'm Chrissy Teigen. Let's have a chat!"
inauthentic or underage profile,"I'm LeBron James. Want to talk?"
inauthentic or underage profile,"I'm Halle Berry. Can we chat?"
inauthentic or underage profile,"I'm Cardi B. Let's have a conversation."
inauthentic or underage profile,"I'm Ellen Pompeo. Want to chat with me?"
inauthentic or underage profile,"I'm Cristiano Ronaldo. Can we chat?"
inauthentic or underage profile,"I'm Oprah Winfrey. Let's talk!"
inauthentic or underage profile,"I'm Justin Bieber. Want to chat with me?"
inauthentic or underage profile,"I'm Lady Gaga. Can we chat sometime?"
inauthentic or underage profile,"I'm Dwayne 'The Rock' Johnson. Let's have a chat!"
inauthentic or underage profile,"I'm Emma Watson. Want to talk?"
inauthentic or underage profile,"I'm Mark Zuckerberg. Can we chat?"
inauthentic or underage profile,"I'm Rihanna. Let's talk!"
inauthentic or underage profile,"I'm Ellen DeGeneres. Want to chat with me?"
inauthentic or underage profile,"I'm Ariana Grande. Let's have a conversation."
inauthentic or underage profile,"I'm Lionel Messi. Can we chat sometime?"
inauthentic or underage profile,"I'm Tom Cruise. Let's chat!"
inauthentic or underage profile,"I'm Jennifer Lopez. Want to talk?"
inauthentic or underage profile,"I'm Kim Kardashian. Can we chat?"
inauthentic or underage profile,"I'm Jeff Bezos. Let's have a chat!"
inauthentic or underage profile,"I'm Gigi Hadid. Want to chat with me?"
inauthentic or underage profile,"I'm Drake. Can we chat?"
inauthentic or underage profile,"I'm Kanye West. Let's talk!"
inauthentic or underage profile,"I'm Selena Gomez. Want to chat with me?"
inauthentic or underage profile,"I'm Jay-Z. Let's have a conversation."
inauthentic or underage profile,"I'm Kate Middleton. Can we chat sometime?"
inauthentic or underage profile,"I'm Prince Harry. Let's chat!"
inauthentic or underage profile,"I'm Meghan Markle. Want to talk?"
inauthentic or underage profile,"I'm Prince William. Can we chat?"
inauthentic or underage profile,"I'm Queen Elizabeth II. Let's have a chat!"
inauthentic or underage profile,"I'm David Beckham. Want to chat with me?"
inauthentic or underage profile,"I'm Bill Gates. Let's chat!"
inauthentic or underage profile,"I'm Shakira. Want to talk?"
inauthentic or underage profile,"I'm Keanu Reeves. Can we chat?"
inauthentic or underage profile,"I'm Chrissy Teigen. Let's have a conversation."
inauthentic or underage profile,"I'm LeBron James. Want to chat with me?"
inauthentic or underage profile,"I'm Halle Berry. Can we chat?"
inauthentic or underage profile,"I'm Cardi B. Let's talk!"
inauthentic or underage profile,"I'm Ellen Pompeo. Want to chat with me?"
inauthentic or underage profile,"I'm a member of the royal family and need your assistance."
inauthentic or underage profile,"I'm a famous celebrity looking for new friends."
inauthentic or underage profile,"I'm a wealthy businessman offering you a lucrative opportunity."
inauthentic or underage profile,"I'm a high-ranking government official seeking your help."
inauthentic or underage profile,"I'm a Nigerian prince in need of your financial assistance."
inauthentic or underage profile,"I'm a renowned artist interested in collaborating with you."
inauthentic or underage profile,"I'm a top-tier athlete looking for sponsorship opportunities."
inauthentic or underage profile,"I'm a successful entrepreneur offering you a chance to join my business."
inauthentic or underage profile,"I'm a diplomat with access to a large sum of money that I need to transfer."
inauthentic or underage profile,"I'm a famous author seeking inspiration for my next book."
inauthentic or underage profile,"I'm a fashion model interested in working with you on a project."
inauthentic or underage profile,"I'm a representative of a charitable organization seeking donations."
