label,message
other concerning content,"I need help."
other concerning content,"Something doesn't feel right."
other concerning content,"I'm feeling unsafe."
other concerning content,"I'm scared."
other concerning content,"I don't know what to do."
other concerning content,"Can someone assist me?"
other concerning content,"I'm in trouble."
other concerning content,"I feel threatened."
other concerning content,"I need urgent assistance."
other concerning content,"Help me, please."
other concerning content,"I'm in danger."
other concerning content,"I'm feeling really down."
other concerning content,"I think I'm being followed."
other concerning content,"I'm worried about my safety."
other concerning content,"I'm feeling very anxious."
other concerning content,"I need support right now."
other concerning content,"I'm not okay."
other concerning content,"I feel lost."
other concerning content,"I'm in a bad situation."
other concerning content,"I need someone to talk to."
other concerning content,"I'm feeling desperate."
other concerning content,"I'm afraid for my life."
other concerning content,"I need to get out of here."
other concerning content,"I'm not feeling safe."
other concerning content,"I need help immediately."
other concerning content,"I don't feel secure."
other concerning content,"I'm very worried."
other concerning content,"I need assistance."
other concerning content,"I'm feeling vulnerable."
other concerning content,"I'm feeling unsafe."
other concerning content,"I'm afraid I might hurt myself."
other concerning content,"I'm having thoughts of self-harm."
other concerning content,"I feel like I'm losing control."
other concerning content,"I'm struggling to cope with my emotions."
other concerning content,"I'm feeling overwhelmed and anxious."
other concerning content,"I don't know how much longer I can hold on."
other concerning content,"I feel like I'm suffocating."
other concerning content,"I'm experiencing intense emotional pain."
other concerning content,"I'm trapped in my own mind."
other concerning content,"I'm scared to be alone."
other concerning content,"I'm having trouble sleeping because of my thoughts."
other concerning content,"I'm constantly on edge."
other concerning content,"I'm struggling to find a reason to keep going."
other concerning content,"I feel like I'm drowning."
other concerning content,"I'm haunted by intrusive thoughts."
other concerning content,"I'm consumed by feelings of hopelessness."
other concerning content,"I'm battling with depression."
other concerning content,"I'm feeling isolated and disconnected."
other concerning content,"I'm overwhelmed by the darkness inside me."
other concerning content,"I'm plagued by feelings of worthlessness."
other concerning content,"I'm losing touch with reality."
other concerning content,"I'm hiding my pain behind a smile."
other concerning content,"I'm afraid to ask for help."
other concerning content,"I'm carrying the weight of the world on my shoulders."
other concerning content,"I'm living in constant fear."
other concerning content,"I'm suffocating under the weight of my thoughts."
other concerning content,"I'm trapped in a never-ending cycle of despair."
other concerning content,"I'm reaching my breaking point."
other concerning content,"I'm struggling to find a reason to stay alive."
other concerning content,"I'm battling demons nobody else can see."
other concerning content,"I'm overwhelmed by feelings of emptiness."
other concerning content,"I'm being consumed by darkness."
other concerning content,"I'm losing the fight against my own mind."
other concerning content,"I'm spiraling out of control."
other concerning content,"I'm drowning in a sea of despair."
other concerning content,"I'm trapped in a nightmare I can't wake up from."
other concerning content,"I'm suffocating under the weight of my own thoughts."
other concerning content,"I'm losing my grip on reality."
other concerning content,"I'm struggling to find the light in the darkness."
other concerning content,"I'm battling demons nobody else can see."
other concerning content,"I'm overwhelmed by feelings of despair."
other concerning content,"I'm being consumed by darkness."
other concerning content,"I'm losing the fight
other concerning content,"The election was rigged."
other concerning content,"Vaccinations are harmful."
other concerning content,"Chemtrails are poisoning us."
other concerning content,"Join this 'get rich quick' scheme."
other concerning content,"Certain foods can prevent COVID-19."
other concerning content,"There's a dangerous challenge on social media."
other concerning content,"Get a discount on prescription medication."
other concerning content,"Learn methods to bypass security systems."
other concerning content,"Climate change is a hoax."
other concerning content,"Buy counterfeit goods from this network."
other concerning content,"5G networks cause health issues."
other concerning content,"COVID-19 was engineered in a lab."
other concerning content,"Psychic readings can predict your future."
other concerning content,"Spread false accusations against a neighbor."
other concerning content,"Watch this video showing animal cruelty."
other concerning content,"Government officials are aliens."
other concerning content,"Invest in this new cryptocurrency."
other concerning content,"Join this group promoting extremist ideologies."
other concerning content,"Claim government benefits with this scam."
other concerning content,"This supplement can cure all diseases."
other concerning content,"The moon landing was faked."
other concerning content,"Drinking bleach can cure COVID-19."
other concerning content,"The Earth is flat."
other concerning content,"Join this pyramid scheme for financial freedom."
other concerning content,"Eating raw meat can prevent cancer."
other concerning content,"The government is hiding the truth about aliens."
other concerning content,"Global warming is a hoax."
other concerning content,"This website offers free money with no strings attached."
other concerning content,"COVID-19 vaccines are unsafe."
other concerning content,"Celebrities are part of a secret society."
other concerning content,"Join this cult for enlightenment."
other concerning content,"This website sells miracle pills for eternal youth."
other concerning content,"The COVID-19 pandemic is a government conspiracy."
other concerning content,"This product will make you a millionaire overnight."
other concerning content,"COVID-19 is a bioweapon created by China."
other concerning content,"The government is spying on us through our phones."
other concerning content,"This website offers free energy for life."
other concerning content,"COVID-19 is a hoax created to control the population."
other concerning content,"This book contains the secrets to eternal life."
other concerning content,"The government is planning to implant microchips in us."
other concerning content,"This website offers free psychic readings."
other concerning content,"COVID-19 tests are used to collect DNA samples."
other concerning content,"Join this group to learn the truth about 9/11."
other concerning content,"This website offers free courses on mind control."
other concerning content,"COVID-19 was created in a lab to thin the population."
other concerning content,"This product will protect you from electromagnetic radiation."
other concerning content,"The government is using weather control technology."
other concerning content,"This website offers free access to classified government documents."
other concerning content,"COVID-19 vaccines contain tracking devices."
other concerning content,"Aliens are living among us."
other concerning content,"This website sells miracle crystals for healing."
other concerning content,"COVID-19 is a cover-up for a global takeover."
other concerning content,"The Illuminati controls world events."
other concerning content,"This product will give you superhuman abilities."
other concerning content,"COVID-19 is a biological weapon developed in a lab."
other concerning content,"The government is suppressing cures for cancer."
other concerning content,"This website offers free energy healing sessions."
other concerning content,"COVID-19 was created to enforce martial law."
other concerning content,"The government is hiding evidence of extraterrestrial life."
other concerning content,"This product will protect you from 5G radiation."
other concerning content,"COVID-19 is a depopulation agenda."
other concerning content,"The Earth is hollow."
other concerning content,"This website offers free access to alien technology."
